Date,Children in HHS Care,Children discharged from HHS Care
March 23 2021,11551,209
March 24 2021,11900,268
March 25 2021,12551,280
March 28 2021,11886,248
March 29 2021,12035,229
March 30 2021,12918,215
March 31 2021,13204,244
April 01 2021,13359,288
April 04 2021,14287,242
April 05 2021,15193,239
April 06 2021,16045,282
April 07 2021,16489,342
April 08 2021,16941,301
April 11 2021,18027,228
April 12 2021,18773,243
April 13 2021,19120,303
April 14 2021,19537,356
April 15 2021,19798,374
April 18 2021,20346,266
April 19 2021,20468,260
April 20 2021,20544,335
April 21 2021,20544,335
April 22 2021,21272,401
April 25 2021,21956,379
April 26 2021,22103,349
April 27 2021,22276,472
April 28 2021,22538,413
April 29 2021,22557,580
May 02 2021,22264,485
May 04 2021,22174,420
May 05 2021,21848,708
May 06 2021,21563,775
May 09 2021,20888,558
May 10 2021,20669,559
May 11 2021,20519,583
May 12 2021,20397,431
May 13 2021,20060,595
May 16 2021,19449,474
May 17 2021,19343,427
May 18 2021,19387,444
May 19 2021,19334,577
May 20 2021,19171,518
May 23 2021,18187,729
May 24 2021,18122,454
May 25 2021,18168,284
May 26 2021,17847,640
May 27 2021,17670,559
May 31 2021,17042,323
June 01 2021,16874,547
June 02 2021,16763,507
June 03 2021,16513,605
June 06 2021,16037,566
June 07 2021,16264,407
June 08 2021,16250,300
June 09 2021,16190,445
June 10 2021,16035,575
June 13 2021,15330,729
June 14 2021,15365,412
June 15 2021,15341,398
June 16 2021,15308,427
June 20 2021,14467,605
June 21 2021,14661,411
June 22 2021,14894,350
June 23 2021,14596,698
June 24 2021,14837,491
June 27 2021,14233,678
June 28 2021,14465,413
June 29 2021,14738,370
June 30 2021,14739,419
July 01 2021,14416,623
July 05 2021,14539,468
July 06 2021,14852,356
July 07 2021,14842,374
July 08 2021,14788,540
July 11 2021,15004,343
July 12 2021,15100,428
July 13 2021,15177,355
July 14 2021,15112,452
July 15 2021,19920,611
July 18 2021,14288,689
July 19 2021,14319,467
July 20 2021,14186,466
July 21 2021,14278,528
July 22 2021,14153,762
July 25 2021,13663,673
July 26 2021,13752,338
July 27 2021,13833,461
July 28 2021,13943,484
July 29 2021,14013,524
August 01 2021,14130,590
August 02 2021,14365,253
August 03 2021,14609,360
August 04 2021,14523,612
August 05 2021,14781,582
August 08 2021,15282,578
August 09 2021,15660,364
August 10 2021,16033,474
August 11 2021,16492,455
August 12 2021,16282,743
August 15 2021,16205,507
August 16 2021,16376,381
August 17 2021,16216,671
August 18 2021,16147,410
August 19 2021,15735,827
August 22 2021,15655,346
August 23 2021,15452,627
August 24 2021,15185,642
August 25 2021,14894,719
August 26 2021,15131,634
August 29 2021,14944,450
August 30 2021,14840,552
August 31 2021,14911,408
September 01 2021,14946,420
September 02 2021,14851,679
September 06 2021,14288,471
September 07 2021,14192,402
September 08 2021,13973,548
September 09 2021,13598,706
September 12 2021,13393,406
September 13 2021,13273,558
September 14 2021,13348,426
September 15 2021,13179,527
September 16 2021,13109,484
September 19 2021,12784,387
September 20 2021,12724,426
September 21 2021,12759,376
September 22 2021,12903,523
September 23 2021,12696,580
September 26 2021,12440,371
September 27 2021,12452,531
September 28 2021,12459,321
September 29 2021,12273,644
September 30 2021,12337,476
October 03 2021,11987,599
October 04 2021,12047,317
October 05 2021,11923,413
October 06 2021,11745,470
October 07 2021,11500,520
October 11 2021,11404,228
October 12 2021,11464,306
October 13 2021,11236,536
October 14 2021,11161,418
October 17 2021,10899,322
October 18 2021,10894,314
October 19 2021,10972,235
October 20 2021,10951,337
October 21 2021,10964,386
October 24 2021,10759,351
October 25 2021,10857,253
October 26 2021,10974,269
October 27 2021,10926,317
October 28 2021,10926,317
October 31 2021,10680,299
November 01 2021,10834,230
November 02 2021,10997,264
November 03 2021,11121,367
November 04 2021,11183,420
November 07 2021,11139,322
November 08 2021,11372,267
November 09 2021,11742,209
November 11 2021,11744,346
November 14 2021,11672,284
November 15 2021,11759,271
November 16 2021,11955,263
November 17 2021,11870,414
November 18 2021,11928,390
November 21 2021,11934,375
November 22 2021,12031,310
November 28 2021,12335,310
November 29 2021,12617,160
November 30 2021,12957,204
December 01 2021,12997,421
December 02 2021,12867,511
December 05 2021,12549,427
December 06 2021,12860,412
December 07 2021,13248,288
December 08 2021,13152,420
December 09 2021,13072,512
December 12 2021,12779,354
December 13 2021,12662,400
December 14 2021,12739,321
December 15 2021,12624,482
December 16 2021,12401,519
December 19 2021,11904,571
December 20 2021,11995,379
December 21 2021,11997,385
December 22 2021,11949,438
December 27 2021,11295,217
December 28 2021,11227,232
December 29 2021,11099,333
January 02 2022,9980,261
January 03 2022,9872,186
January 04 2022,9614,331
January 05 2022,9454,266
January 06 2022,9280,283
January 09 2022,8503,284
January 10 2022,8276,302
January 11 2021,8150,212
January 12 2022,8071,201
January 13 2022,7949,257
January 17 2022,7924,150
January 18 2022,8045,121
January 19 2022,8147,214
January 20 2022,8254,256
January 23 2022,8525,212
January 24 2022,8783,151
January 25 2022,8970,169
January 26 2022,9045,217
January 27 2022,9096,242
January 30 2022,9361,277
January 31 2022,9307,296
February 01 2022,9351,214
February 02 2022,9525,201
February 03 2022,9643,150
February 06 2022,9543,401
February 07 2022,9487,392
February 08 2022,9584,294
February 09 2022,9540,276
February 10 2022,9596,403
February 13 2022,9465,307
February 14 2022,9614,297
February 15 2022,9757,233
February 16 2022,9781,289
February 17 2022,9808,346
February 21 2022,9801,243
February 22 2022,9955,204
February 23 2022,10020,287
February 24 2022,10049,259
February 27 2022,10032,398
February 28 2022,10107,334
March 01 2022,9981,374
March 02 2022,9964,402
March 03 2022,9938,431
March 06 2022,9633,343
March 07 2022,9634,355
March 08 2022,9781,292
March 09 2022,9783,369
March 10 2022,9824,359
March 13 2022,9767,324
March 14 2022,9825,316
March 15 2022,9909,323
March 16 2022,10012,295
March 17 2022,9968,363
March 20 2022,10018,279
March 21 2022,10031,353
March 22 2022,10158,210
March 23 2022,10351,310
March 24 2022,10278,356
March 27 2022,10101,332
March 28 2022,10140,344
March 29 2022,10248,261
March 30 2022,10293,298
March 31 2022,10465,306
April 03 2022,10326,467
April 04 2022,10448,271
April 05 2022,10370,422
April 06 2022,10364,361
April 07 2022,10328,389
April 10 2022,9974,350
April 11 2022,9801,429
April 12 2022,9905,298
April 13 2022,9934,328
April 14 2022,9748,521
April 17 2022,9478,300
April 18 2022,9421,383
April 19 2022,9412,247
April 20 2022,9419,287
April 21 2022,9274,450
April 24 2022,8785,410
April 25 2022,8725,344
April 26 2022,8741,274
April 27 2022,8675,340
April 28 2022,8608,363
May 01 2022,8376,472
May 02 2022,8390,321
May 03 2022,8437,232
May 04 2022,8488,266
May 05 2022,8385,406
May 08 2022,8385,387
May 09 2022,8574,181
May 10 2022,8654,348
May 11 2022,8826,241
May 12 2022,9022,304
May 15 2022,9050,254
May 16 2022,9152,311
May 17 2022,9325,298
May 18 2022,9252,340
May 19 2022,9332,326
May 22 2022,9392,291
May 23 2022,9505,322
May 24 2022,9656,230
May 25 2022,9823,271
May 26 2022,9915,360
May 30 2022,10078,205
May 31 2022,10341,231
June 01 2022,10571,244
June 02 2022,10608,374
June 03 2022,10224,469
June 06 2022,10187,447
June 07 2022,10240,304
June 08 2022,10248,420
June 09 2022,10313,379
June 12 2022,10104,384
June 13 2022,10297,285
June 14 2022,10259,415
June 15 2022,10167,443
June 16 2022,10198,395
June 20 2022,10680,332
June 21 2022,10961,174
June 22 2022,11253,360
June 23 2022,11360,368
June 26 2022,11363,552
June 27 2022,11467,288
June 28 2022,11760,304
June 29 2022,11883,311
June 30 2022,11912,418
July 04 2022,11843,371
July 05 2022,11913,279
July 06 2022,11905,412
July 07 2022,11977,391
July 10 2022,11578,504
July 11 2022,11535,449
July 12 2022,11567,341
July 13 2022,11644,318
July 14 2022,11568,491
July 17 2022,11490,507
July 18 2022,11483,362
July 19 2022,11541,311
July 20 2022,11540,479
July 21 2022,11642,351
July 24 2022,11203,485
July 25 2022,11268,213
July 26 2022,11225,369
July 27 2022,11156,456
July 28 2022,11080,383
July 31 2022,10447,471
August 01 2022,10445,370
August 02 2022,10393,378
August 03 2022,10293,374
August 04 2022,10172,416
August 07 2022,9876,518
August 08 2022,9881,331
August 09 2022,9884,281
August 10 2022,9774,423
August 11 2022,9760,315
August 14 2022,9308,366
August 15 2022,9248,280
August 16 2022,9278,240
August 17 2022,9435,275
August 18 2022,9315,404
August 21 2022,9087,388
August 22 2022,9170,190
August 23 2022,9131,278
August 24 2022,9107,297
August 25 2022,9070,367
August 28 2022,8749,330
August 29 2022,8814,317
August 30 2022,9029,238
August 31 2022,9073,286
September 01 2022,9100,284
September 05 2022,8989,223
September 06 2022,9015,232
September 07 2022,9141,246
September 08 2022,9146,310
September 11 2022,9132,297
September 12 2022,9179,263
September 13 2022,9348,225
September 14 2022,9480,249
September 18 2022,9225,276
September 19 2022,9382,251
September 20 2022,9449,233
September 21 2022,9535,243
September 22 2022,9530,339
September 25 2022,9256,356
September 26 2022,9267,279
September 27 2022,9355,200
September 28 2022,9450,220
September 29 2022,9486,323
October 02 2022,9612,314
October 03 2022,9634,307
October 04 2022,9592,258
October 05 2022,9517,304
October 06 2022,9441,350
October 10 2022,9556,249
October 11 2022,9715,218
October 12 2022,9731,280
October 13 2022,9735,287
October 16 2022,9600,381
October 17 2022,9640,258
October 18 2022,9743,236
October 19 2022,9814,282
October 20 2022,9734,365
October 23 2022,9523,386
